,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
265,reem/rust-plugin,31264,Cargo,plugin,18,reem,rust-plugin,11382151,6,1519,23,4,47,3,0,10,4,2,10,0,20
853,gfx-rs/gfx_scene,783955,Cargo,gfx_phase,2,gfx-rs,gfx_scene,20431938,1,1327,8,3,27,5,70,6,125,124,0,0,2
269,RustAudio/rust-portaudio,31272,Cargo,portaudio,10,RustAudio,rust-portaudio,30735992,2,1861,144,1,20,3,0,0,767,0,1,0,3
271,sfackler/rust-postgres,31276,Cargo,postgres,42,sfackler,rust-postgres,5030178,2,1905,1042,17,2547,238,0,0,0,0,0,0,2
272,freebroccolo/pretty.rs,31281,Cargo,pretty,6,freebroccolo,pretty.rs,39707002,3,1455,30,3,39,7,66,0,569,34,2,13,5
273,stainless-steel/probability,31283,Cargo,probability,3,stainless-steel,probability,13502227,1,1453,27,5,635,3,6,3,1,13,0,0,5
281,sfackler/r2d2,31297,Cargo,r2d2,36,sfackler,r2d2,11195446,3,1527,371,4,453,34,0,2,0,0,0,0,7
283,racer-rust/racer,31299,Cargo,racer,1,racer-rust,racer,66733239,0,1682,527,11,157,112,0,76,0,0,2,104,4
288,mitsuhiko/redis-rs,31308,Cargo,redis,37,mitsuhiko,redis-rs,7157517,1,1746,868,14,373,44,0,8,0,0,5,1,10
134,alexcrichton/git2-rs,31014,Cargo,git2,62,alexcrichton,git2-rs,11153800,2,1530,359,34,2139,98,0,0,0,0,0,0,8
294,Nemo157/roaring-rs,31321,Cargo,roaring,4,Nemo157,roaring-rs,14528726,1,1383,60,3,274,9,1,0,832,1,0,0,5
295,spacejam/rust-rocksdb,31322,Cargo,rocksdb,5,spacejam,rust-rocksdb,13650309,1,1424,246,7,297,37,0,0,0,0,2,0,4
297,iron/router,31325,Cargo,router,45,iron,router,10316705,3,1576,172,19,282,35,0,4,0,0,0,0,2
298,conduit-rust/route-recognizer.rs,31326,Cargo,route-recognizer,3,conduit-rust,route-recognizer.rs,10564559,2,1745,29,3,39,2,0,0,142,0,0,0,3
301,gchp/rustbox,31339,Cargo,rustbox,9,gchp,rustbox,10879227,0,1546,390,7,162,20,0,0,0,14,4,1,3
304,rust-lang-nursery/rustfmt,31344,Cargo,rustfmt,9,rust-lang-nursery,rustfmt,28698073,1,1313,1360,72,1867,1319,0,0,0,0,1,1,3
313,stouset/secrets,31377,Cargo,secrets,1,stouset,secrets,13661773,1,1401,65,4,409,1,0,0,0,0,0,0,3
314,utkarshkukreti/select.rs,31378,Cargo,select,14,utkarshkukreti,select.rs,22066109,2,1183,300,1,205,18,0,0,975,0,0,0,13
316,steveklabnik/semver,31382,Cargo,semver,98,steveklabnik,semver,11359839,9,1533,109,5,453,30,0,3,0,0,1,1,4
317,michaelsproul/rust_sequence_trie,31383,Cargo,sequence_trie,3,michaelsproul,rust_sequence_trie,15718248,1,1505,16,5,80,11,0,268,1,0,4,0,3
1356,gi-rust/glib-sys,1058363,Cargo,glib-2-0-sys,5,gi-rust,glib-sys,15505123,2,1355,3,1,69,1,26,0,288,0,0,2,4
327,frostly/rust-slack,31402,Cargo,slack-hook,2,frostly,rust-slack,11264642,0,1525,83,5,260,3,0,192,414,1,1,0,9
328,slack-rs/slack-rs,31403,Cargo,slack,6,slack-rs,slack-rs,33793059,0,1391,85,8,63,25,0,1,3,28,2,0,4
137,glium/glium,31017,Cargo,glium,63,glium,glium,12217900,4,1468,376,1,44,27,0,0,1385,0,0,0,2
332,utkarshkukreti/speculate.rs,31414,Cargo,speculate,4,utkarshkukreti,speculate.rs,14655722,2,1378,15,1,112,6,5,14,1302,16,4,191,3
334,reem/stainless,31419,Cargo,stainless,18,reem,stainless,12201578,3,1470,408,6,139,35,0,241,0,0,1,0,3
338,huonw/strided-rs,31428,Cargo,strided,3,huonw,strided-rs,13770378,1,1424,4,3,55,0,0,0,101,0,10,109,3
135,brendanzab/gl-rs,31015,Cargo,gl,29,brendanzab,gl-rs,42049281,5,2092,150,5,66,17,0,68,0,0,1,15,7
347,BurntSushi/tabwriter,31445,Cargo,tabwriter,20,BurntSushi,tabwriter,11793974,1,1494,94,4,81,6,61,0,59,112,0,20,1
350,alexcrichton/tar-rs,31448,Cargo,tar,42,alexcrichton,tar-rs,10881618,3,1546,133,16,1582,63,0,0,2,2,0,1,4
351,Stebalien/term,31457,Cargo,term,109,Stebalien,term,14896725,11,1382,76,4,103,17,0,8,0,0,0,17,7
354,mattyhall/rs-tiled,31464,Cargo,tiled,1,mattyhall,rs-tiled,12519635,0,1464,70,4,115,7,0,0,0,0,2,0,1
355,rust-lang-deprecated/time,31465,Cargo,time,695,rust-lang-deprecated,time,25749003,22,1430,65,7,596,7,0,234,239,0,0,0,20
357,alexcrichton/toml-rs,31470,Cargo,toml,280,alexcrichton,toml-rs,10395822,10,1573,410,22,1612,109,0,0,0,0,0,0,3
358,reem/rust-traverse,31474,Cargo,traverse,2,reem,rust-traverse,14071471,2,1396,9,4,49,1,10,24,79,46,0,0,3
367,seanmonstar/unicase,31496,Cargo,unicase,30,seanmonstar,unicase,14926781,6,1477,16,4,48,5,0,208,0,0,1,0,2
140,tomaka/glutin,31021,Cargo,glutin,46,tomaka,glutin,12242123,5,1536,998,57,2193,315,0,0,0,0,0,0,2
375,ogham/rust-users,31507,Cargo,users,10,ogham,rust-users,13682618,1,1398,31,2,98,6,0,0,630,0,22,0,2
378,meqif/rust-utp,31512,Cargo,utp,1,meqif,rust-utp,10964949,1,1541,86,4,1152,11,4,0,312,20,0,1,1
379,rust-lang-nursery/uuid,31513,Cargo,uuid,195,rust-lang-nursery,uuid,26200798,9,1533,104,7,692,17,0,0,147,0,1,2,2
381,PistonDevelopers/vecmath,31518,Cargo,vecmath,26,PistonDevelopers,vecmath,10801403,4,1551,48,4,153,130,0,0,2,0,0,0,1
383,tomaka/vorbis-rs,31521,Cargo,vorbis,4,tomaka,vorbis-rs,13080525,2,1438,9,1,40,1,0,0,714,0,0,0,2
385,PistonDevelopers/wavefront_obj,31525,Cargo,wavefront_obj,4,PistonDevelopers,wavefront_obj,13503894,0,1533,21,7,64,17,0,0,0,0,0,0,19
387,cyderize/rust-websocket,31530,Cargo,websocket,23,cyderize,rust-websocket,13687092,2,1413,543,21,571,79,0,0,0,0,1,0,2
391,netvl/xml-rs,31543,Cargo,xml-rs,92,netvl,xml-rs,13661109,6,1586,226,12,312,37,0,0,0,0,2,0,3
400,badboy/crc64-rs,117882,Cargo,crc64,1,badboy,crc64-rs,12963198,0,1456,2,4,45,0,51,0,158,122,0,0,2
406,borntyping/rust-psutil,117895,Cargo,psutil,3,borntyping,rust-psutil,15398629,0,1357,40,3,101,3,10,0,26,4,1,1,5
407,PistonDevelopers/glfw-rs,117912,Cargo,glfw,13,PistonDevelopers,glfw-rs,9990515,2,1591,111,4,41,12,0,0,0,0,0,0,2
410,johannhof/markdown.rs,117916,Cargo,markdown,1,johannhof,markdown.rs,12570388,0,1484,60,7,118,8,0,0,0,0,33,2,4
414,awelkie/RustFFT,117922,Cargo,rustfft,10,awelkie,RustFFT,15538969,1,1354,68,4,115,9,0,239,509,0,2,1,4
460,PistonDevelopers/cam,126302,Cargo,piston3d-cam,1,PistonDevelopers,cam,11509129,1,1512,17,10,53,14,1,0,0,0,0,0,4
464,FGRibreau/mailchecker,168277,NPM,mailchecker,4,FGRibreau,mailchecker,2968722,0,2046,939,8,496,40,0,0,0,0,1,1,4
465,sfackler/log4rs,247309,Cargo,log4rs,22,sfackler,log4rs,15619996,2,1352,193,4,454,38,0,0,2,0,0,1,3
467,carllerche/bytes,396253,Cargo,bytes,118,carllerche,bytes,15731516,10,1349,220,37,561,68,0,15,0,0,1,1,3
468,rust-bio/rust-bio,427639,Cargo,bio,7,rust-bio,rust-bio,23141521,1,1354,452,31,600,41,0,2,0,7,1,0,6
475,gfx-rs/gfx_macros,428075,Cargo,gfx_macros,3,gfx-rs,gfx_macros,16969654,1,1318,2,6,25,1,0,20,4,21,0,0,5
476,fitzgen/mach,428076,Cargo,mach,4,fitzgen,mach,15789498,1,1347,22,4,71,8,2,35,252,157,0,0,2
479,dcuddeback/termios-rs,428140,Cargo,termios,24,dcuddeback,termios-rs,15811527,3,1347,29,2,56,4,0,0,518,49,0,6,1
483,BurntSushi/byteorder,428781,Cargo,byteorder,615,BurntSushi,byteorder,15900704,15,1345,319,18,200,56,0,0,0,0,0,1,3
491,bodoni/svg,431623,Cargo,svg,9,bodoni,svg,16078534,1,1340,36,5,251,6,0,0,18,0,0,0,16
495,reem/rust-void,432620,Cargo,void,45,reem,rust-void,16155434,6,1338,38,2,22,3,36,0,216,0,0,6,2
503,servo/core-graphics-rs,434293,Cargo,core-graphics,12,servo,core-graphics-rs,20859553,3,2182,17,11,146,3,27,0,189,85,0,12,2
504,servo/core-text-rs,434294,Cargo,core-text,1,servo,core-text-rs,20882668,1,2182,17,9,61,3,8,10,6,1,0,0,2
511,RustAudio/sample,434985,Cargo,sample,9,RustAudio,sample,16282952,1,1335,116,5,126,16,0,401,204,0,1,0,3
515,cobalt-org/liquid-rust,570188,Cargo,liquid,3,cobalt-org,liquid-rust,13390673,1,1431,120,18,546,44,0,2,16,14,0,2,6
520,huonw/simple_parallel,633644,Cargo,simple_parallel,5,huonw,simple_parallel,16495637,1,1329,95,4,87,1,0,0,108,0,0,0,2
521,seanmonstar/httparse,652299,Cargo,httparse,30,seanmonstar,httparse,16553199,6,1328,147,6,142,12,0,0,9,0,0,0,9
524,FillZpp/sys-info-rs,653279,Cargo,sys-info,6,FillZpp,sys-info-rs,16499389,0,1329,38,10,78,9,0,254,0,0,5,0,2
527,rust-lang-nursery/unix-socket,653406,Cargo,unix_socket,32,rust-lang-nursery,unix-socket,27452418,4,1327,41,2,29,1,0,0,302,0,2,0,1
528,rust-lang-nursery/tempdir,653520,Cargo,tempdir,299,rust-lang-nursery,tempdir,27226321,22,1315,107,7,192,19,0,0,308,14,0,0,1
537,reem/rust-mac,657539,Cargo,mac,8,reem,rust-mac,16760424,3,1323,10,4,17,0,3,3,2,7,2,2,2
539,dche/glm-rs,683027,Cargo,glm,2,dche,glm-rs,16804306,0,1322,26,6,75,6,0,0,142,0,1,0,1
544,tailhook/rust-argparse,684046,Cargo,argparse,57,tailhook,rust-argparse,9631712,5,1619,150,9,155,14,0,0,0,0,0,0,1
548,sbstp/rust-igd,684289,Cargo,igd,4,sbstp,rust-igd,16841578,2,1321,21,6,79,8,0,0,0,79,0,0,2
550,dermesser/yup-oauth2,684331,Cargo,yup-oauth2,275,dermesser,yup-oauth2,35112936,1,909,26,4,114,12,0,0,12,3,3,0,2
555,Byron/open-rs,684600,Cargo,open,15,Byron,open-rs,16880934,1,1321,28,4,35,2,0,0,208,0,2,0,2
558,RustAudio/coreaudio-sys,685943,Cargo,coreaudio-sys,1,RustAudio,coreaudio-sys,25629867,1,1124,7,3,14,7,0,0,20,0,1,0,4
559,RustAudio/coreaudio-rs,685973,Cargo,coreaudio-rs,3,RustAudio,coreaudio-rs,16888270,2,1320,60,4,82,14,0,0,174,62,0,0,5
561,kbknapp/clap-rs,686175,Cargo,clap,907,kbknapp,clap-rs,16775749,8,1323,2127,71,3929,594,0,0,0,0,0,0,2
564,bozaro/lz4-rs,694368,Cargo,lz4,6,bozaro,lz4-rs,16872965,1,1321,53,8,151,5,0,0,70,0,2,0,1
569,RustAudio/synth,695912,Cargo,synth,1,RustAudio,synth,16209216,0,1337,86,2,83,4,0,98,316,41,0,0,2
571,gfx-rs/draw_state,698357,Cargo,draw_state,4,gfx-rs,draw_state,16875802,4,1321,4,6,34,16,0,0,0,21,0,0,5
580,sdroege/gstreamer-rs,702970,Cargo,gstreamer,6,sdroege,gstreamer-rs,64674085,1,516,125,20,927,48,0,8,6,2,1,1,6
584,iron/urlencoded,703135,Cargo,urlencoded,19,iron,urlencoded,10368224,2,1574,21,10,77,13,0,2,30,0,0,1,3
585,ebfull/pcap,703259,Cargo,pcap,5,ebfull,pcap,17263968,1,1311,118,7,129,33,0,0,0,0,2,0,2
586,tomaka/glium_text,704015,Cargo,glium_text,3,tomaka,glium_text,13678285,0,1398,38,2,117,3,0,0,912,0,0,0,1
587,dirvine/maidsafe_types,711314,Cargo,maidsafe_types,3,dirvine,maidsafe_types,17352534,1,1250,1,7,190,0,19,0,1,2,0,0,1
588,tomaka/android-rs-glue,712584,Cargo,android_glue,4,tomaka,android-rs-glue,11765333,2,1496,729,14,307,37,0,0,0,0,0,0,2
597,mrhooray/crc-rs,714613,Cargo,crc,38,mrhooray,crc-rs,17468083,2,1305,35,5,251,16,0,0,7,0,1,96,3
598,contain-rs/trie,714710,Cargo,trie,1,contain-rs,trie,17494212,0,1305,10,11,79,5,0,0,3,411,0,0,1
