,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
653,explosion/spaCy,79381,Pypi,spacy,1,explosion,spaCy,47458719,0,1560,8060,88,5370,1498,0,0,0,0,0,0,2
656,sphinx-doc/sphinx,79553,Pypi,Sphinx,33,sphinx-doc,sphinx,14670187,1,1377,2137,298,9011,2245,0,0,0,0,1,2,3
658,mwilliamson/spur.py,79815,Pypi,spur,1,mwilliamson,spur.py,2244470,0,2144,186,5,166,52,0,3,0,0,10,5,20
659,zzzeek/sqlalchemy,79878,Pypi,SQLAlchemy,102,zzzeek,sqlalchemy,3844721,2,1964,2726,239,5586,0,0,0,0,0,1,2,2
662,RaRe-Technologies/sqlitedict,79965,Pypi,sqlitedict,1,RaRe-Technologies,sqlitedict,39250726,1,2640,113,7,28,10,0,7,0,2,1,0,31
673,gabrielfalcao/sure,81192,Pypi,sure,1,gabrielfalcao,sure,74342,0,3048,390,14,416,60,0,0,0,0,0,45,1
676,dsoprea/PySvn,81309,Pypi,svn,1,dsoprea,PySvn,8941421,0,1654,116,13,181,37,0,1,0,0,0,2,4
679,biosustain/swiglpk,81394,Pypi,swiglpk,1,biosustain,swiglpk,11077452,1,1534,13,3,193,10,139,0,377,172,0,25,2
684,taskcluster/taskcluster-client.py,81813,Pypi,taskcluster,2,taskcluster,taskcluster-client.py,12600091,1,1462,12,13,366,14,3,340,3,72,1,4,4
685,ralphbean/taskw,81863,Pypi,taskw,1,ralphbean,taskw,136798,0,2492,105,7,255,36,0,94,0,0,1,1,2
686,ionelmc/python-tblib,81936,Pypi,tblib,1,ionelmc,python-tblib,7177800,0,1744,44,7,111,6,8,0,0,2,2,0,4
687,padelt/temper-python,82109,Pypi,temperusb,1,padelt,temper-python,2249782,0,2103,126,7,90,38,0,408,0,0,4,1,2
692,jupyter/terminado,82267,Pypi,terminado,1,jupyter,terminado,80988964,1,1472,47,3,10,3,0,0,1,0,2,0,3
693,Robpol86/terminaltables,82276,Pypi,terminaltables,4,Robpol86,terminaltables,11862325,0,1499,454,3,668,18,0,54,719,0,1,0,2
694,Simplistix/testfixtures,82366,Pypi,testfixtures,2,Simplistix,testfixtures,283720,0,2693,112,8,473,43,0,1,0,0,1,0,4
696,sloria/TextBlob,82483,Pypi,textblob,2,sloria,TextBlob,4300008,0,1928,3988,7,472,125,0,734,0,0,5,3,2
698,explosion/thinc,82735,Pypi,thinc,1,explosion,thinc,47453217,1,1455,673,5,1777,28,0,0,455,0,0,16,6
701,nvie/times,83021,Pypi,times,1,nvie,times,2783,0,2443,242,2,42,3,0,0,468,0,0,1,3
704,msiemens/tinydb,83106,Pypi,tinydb,5,msiemens,tinydb,4479974,0,1916,2240,21,406,130,0,390,0,0,1,2,2
707,john-kurkowski/tldextract,83227,Pypi,tldextract,3,john-kurkowski,tldextract,182313,0,2783,721,11,207,61,0,0,0,0,3,2,3
708,tony/tmuxp,83270,Pypi,tmuxp,1,tony,tmuxp,5356235,0,1870,1729,12,1924,92,0,0,0,0,0,0,2
709,uiri/toml,83384,Pypi,toml,6,uiri,toml,2799937,0,2054,317,27,330,107,0,0,0,0,5,3,2
710,pytoolz/toolz,83423,Pypi,toolz,6,pytoolz,toolz,5358698,0,1853,1815,22,458,96,0,0,0,5,1,2,4
714,tqdm/tqdm,83639,Pypi,tqdm,16,tqdm,tqdm,20830713,0,1225,7187,35,1514,282,0,10,0,0,3,1,3
715,Deepwalker/trafaret,83899,Pypi,trafaret,4,Deepwalker,trafaret,58338,0,2469,206,34,296,30,0,0,0,0,2,0,2
716,ipython/traitlets,83906,Pypi,traitlets,8,ipython,traitlets,6766371,2,1769,245,20,744,95,0,161,30,0,2,1,3
718,zopefoundation/transaction,83925,Pypi,transaction,12,zopefoundation,transaction,2854133,1,2105,20,15,239,18,0,1,9,4,0,1,6
721,twisted/treq,84104,Pypi,treq,2,twisted,treq,18372928,0,2336,280,20,242,38,0,14,46,0,2,70,3
722,pytroll/trollimage,84164,Pypi,trollimage,1,pytroll,trollimage,22362772,0,1778,2,6,146,3,0,8,46,460,1,70,4
729,pypa/twine,84645,Pypi,twine,2,pypa,twine,10800918,0,1884,665,22,270,153,0,0,0,0,0,1,3
